(base) AFinney1~/Dev/AoC2023/day7(main|…) % ./day7p1 input.txt
hand 23AK5, bid 926, label 0, running total 926
hand 7JA28, bid 331, label 0, running total 1400622
hand 7Q3K8, bid 121, label 0, running total 1409697
hand 7Q82J, bid 22, label 0, running total 1411369
hand 7QA42, bid 604, label 0, running total 1457877
hand 7K4Q6, bid 466, label 0, running total 1494225
hand 7A49T, bid 697, label 0, running total 1549288
hand 7AK35, bid 344, label 0, running total 1576808
hand 8294A, bid 739, label 0, running total 1636667
hand 82K9T, bid 694, label 0, running total 1693575
hand 832TJ, bid 663, label 0, running total 1748604
hand 8369J, bid 503, label 0, running total 1790856
hand 84J32, bid 876, label 0, running total 1865316
hand 85249, bid 271, label 0, running total 1888622
hand 86J4K, bid 549, label 0, running total 1936385
hand 86A43, bid 824, label 0, running total 2008897
hand 872KT, bid 325, label 0, running total 2037822
hand 87542, bid 112, label 0, running total 2047902
hand 89QA6, bid 6, label 0, running total 2048448
hand 89A3T, bid 693, label 0, running total 2112204
hand 8J6T2, bid 420, label 0, running total 2151264
hand 8Q235, bid 445, label 0, running total 2193094
hand 8Q432, bid 816, label 0, running total 2270614
hand 8Q732, bid 269, label 0, running total 2296438
hand 8KT2J, bid 539, label 0, running total 2348721
hand 8A27K, bid 735, label 0, running total 2420751
hand 8A9Q4, bid 404, label 0, running total 2460747
hand 92T3Q, bid 454, label 0, running total 2506147
hand 9345Q, bid 52, label 0, running total 2511399
hand 935T4, bid 276, label 0, running total 2539551
hand 93QK6, bid 488, label 0, running total 2589815
hand 93K4T, bid 499, label 0, running total 2641711
hand 943AJ, bid 518, label 0, running total 2696101
hand 964QT, bid 720, label 0, running total 2772421
hand 97853, bid 333, label 0, running total 2808052
hand 9TQ57, bid 798, label 0, running total 2894236
hand 9Q5T4, bid 80, label 0, running total 2902956
hand 9Q74A, bid 758, label 0, running total 2986336
hand 9Q76J, bid 493, label 0, running total 3041059
hand 9Q8KA, bid 2, label 0, running total 3041283
hand 9K7AT, bid 302, label 0, running total 3075409
hand 9KJ76, bid 979, label 0, running total 3187015
hand 9A384, bid 700, label 0, running total 3267515
hand 9A576, bid 756, label 0, running total 3355211
hand 9A8T5, bid 272, label 0, running total 3387035
hand 9AJ4T, bid 208, label 0, running total 3411579
hand T2KJ6, bid 551, label 0, running total 3477148
hand T2A7Q, bid 913, label 0, running total 3586708
hand T3A84, bid 870, label 0, running total 3691978
hand T438Q, bid 649, label 0, running total 3771156
hand T5324, bid 412, label 0, running total 3821832
hand T5Q64, bid 569, label 0, running total 3892388
hand T5KQJ, bid 959, label 0, running total 4012263
hand T5AJ9, bid 501, label 0, running total 4075389
hand T768K, bid 618, label 0, running total 4153875
hand T89A7, bid 727, label 0, running total 4246931
hand TJ72A, bid 602, label 0, running total 4324589
hand TJ85Q, bid 770, label 0, running total 4424689
hand TJA73, bid 977, label 0, running total 4552676
hand TJAK6, bid 249, label 0, running total 4585544
hand TQ2K4, bid 473, label 0, running total 4648453
hand TQ623, bid 672, label 0, running total 4738501
hand TQ85K, bid 55, label 0, running total 4745926
hand TQJ92, bid 676, label 0, running total 4837862
hand TKAQ9, bid 267, label 0, running total 4874441
hand J2873, bid 209, label 0, running total 4903283
hand J2T56, bid 884, label 0, running total 5026159
hand J3TQ6, bid 619, label 0, running total 5112819
hand J45K2, bid 691, label 0, running total 5210250
hand J56T8, bid 781, label 0, running total 5321152
hand J6K25, bid 581, label 0, running total 5404235
hand J7TQ9, bid 33, label 0, running total 5408987
hand J8946, bid 933, label 0, running total 5544272
hand JJJJJ, bid 396, label 0, running total 5602088
hand JQ254, bid 668, label 0, running total 5700284
hand JQ35K, bid 340, label 0, running total 5750604
hand JQT62, bid 3, label 0, running total 5751051
hand JK328, bid 214, label 0, running total 5783151
hand Q23K8, bid 825, label 0, running total 5907726
hand Q2867, bid 584, label 0, running total 5996494
hand Q3KA7, bid 141, label 0, running total 6018067
hand Q5A24, bid 684, label 0, running total 6123403
hand Q673A, bid 939, label 0, running total 6268948
hand Q754K, bid 8, label 0, running total 6270196
hand Q7958, bid 640, label 0, running total 6370676
hand Q8KJ5, bid 732, label 0, running total 6486332
hand QT6J8, bid 294, label 0, running total 6533078
hand QA2K6, bid 554, label 0, running total 6621718
hand QA8J7, bid 687, label 0, running total 6732325
hand K2365, bid 472, label 0, running total 6808789
hand K264Q, bid 948, label 0, running total 6963313
hand K48Q2, bid 648, label 0, running total 7069585
hand K52QT, bid 688, label 0, running total 7183105
hand K6A58, bid 164, label 0, running total 7210329
hand K7623, bid 293, label 0, running total 7259260
hand K784T, bid 552, label 0, running total 7351996
hand K8T73, bid 1000, label 0, running total 7520996
hand K8A2Q, bid 863, label 0, running total 7667706
hand K938T, bid 647, label 0, running total 7778343
hand K9QT8, bid 40, label 0, running total 7785223
hand KT725, bid 9, label 0, running total 7786780
hand KJ973, bid 273, label 0, running total 7834282
hand KQTJ4, bid 238, label 0, running total 7875932
hand KA385, bid 998, label 0, running total 8051580
hand KAJ2Q, bid 56, label 0, running total 8061492
hand A283T, bid 861, label 0, running total 8214750
hand A3876, bid 467, label 0, running total 8298343
hand A39JQ, bid 392, label 0, running total 8368903
hand A3J2T, bid 296, label 0, running total 8422479
hand A42QK, bid 829, label 0, running total 8573357
hand A46TQ, bid 27, label 0, running total 8578298
hand A5T29, bid 384, label 0, running total 8648954
hand A62T9, bid 275, label 0, running total 8699829
hand A7Q5K, bid 148, label 0, running total 8727357
hand A8T65, bid 846, label 0, running total 8885559
hand A8Q6T, bid 828, label 0, running total 9041223
hand A8Q72, bid 731, label 0, running total 9179382
hand A924Q, bid 715, label 0, running total 9315232
hand A9257, bid 171, label 0, running total 9347893
hand A98TQ, bid 590, label 0, running total 9461173
hand AJ35T, bid 679, label 0, running total 9592220
hand AJ364, bid 717, label 0, running total 9731318
hand AJ543, bid 39, label 0, running total 9738923
hand AK4T3, bid 223, label 0, running total 9782631
hand 22442, bid 625, label 1, running total 9905756
hand 22QA3, bid 152, label 1, running total 9935852
hand 232TJ, bid 159, label 1, running total 9967493
hand 239Q2, bid 386, label 1, running total 10044693
hand 23Q25, bid 461, label 1, running total 10137354
hand 24337, bid 183, label 1, running total 10174320
hand 2488Q, bid 598, label 1, running total 10295714
hand 25225, bid 382, label 1, running total 10373642
hand 25K24, bid 858, label 1, running total 10549532
hand 26226, bid 120, label 1, running total 10574252
hand 266QJ, bid 288, label 1, running total 10633868
hand 278A7, bid 18, label 1, running total 10637612
hand 28JKK, bid 149, label 1, running total 10668753
hand 29292, bid 570, label 1, running total 10788453
hand 2962T, bid 408, label 1, running total 10874541
hand 2TJ5J, bid 514, label 1, running total 10983509
hand 2J62A, bid 241, label 1, running total 11034842
hand 2J6J7, bid 200, label 1, running total 11077642
hand 2JQTT, bid 942, label 1, running total 11280172
hand 2K2Q9, bid 5, label 1, running total 11281252
hand 2A343, bid 133, label 1, running total 11310113
hand 2A85A, bid 853, label 1, running total 11496067
hand 32J77, bid 966, label 1, running total 11707621
hand 33265, bid 125, label 1, running total 11735121
hand 33J3J, bid 11, label 1, running total 11737552
hand 33K3K, bid 114, label 1, running total 11762860
hand 34Q38, bid 132, label 1, running total 11792296
hand 37QTQ, bid 575, label 1, running total 11921096
hand 3J474, bid 856, label 1, running total 12113696
hand 3J59J, bid 265, label 1, running total 12173586
hand 3J959, bid 655, label 1, running total 12322271
hand 3QQ33, bid 399, label 1, running total 12413243
hand 3QQ45, bid 889, label 1, running total 12616824
hand 3K398, bid 307, label 1, running total 12687434
hand 3K3T2, bid 145, label 1, running total 12720929
hand 3K66J, bid 681, label 1, running total 12878921
hand 3A24A, bid 610, label 1, running total 13021051
hand 3A3A3, bid 73, label 1, running total 13038133
hand 3A623, bid 745, label 1, running total 13213208
hand 3ATA6, bid 474, label 1, running total 13325072
hand 43A3J, bid 907, label 1, running total 13540031
hand 44333, bid 630, label 1, running total 13689971
hand 44455, bid 725, label 1, running total 13863246
hand 44747, bid 737, label 1, running total 14040126
hand 454Q7, bid 430, label 1, running total 14143756
hand 45Q4A, bid 837, label 1, running total 14346310
hand 465T4, bid 283, label 1, running total 14415079
hand 46947, bid 311, label 1, running total 14490963
hand 48493, bid 106, label 1, running total 14516933
hand 4996T, bid 255, label 1, running total 14579663
hand 49T92, bid 81, label 1, running total 14599670
hand 4T23T, bid 642, label 1, running total 14758886
hand 4J47Q, bid 616, label 1, running total 14912270
hand 4J4J4, bid 235, label 1, running total 14971020
hand 52Q28, bid 136, label 1, running total 15005156
hand 53353, bid 196, label 1, running total 15054548
hand 53TJ5, bid 480, label 1, running total 15175988
hand 55775, bid 613, label 1, running total 15331690
hand 55858, bid 867, label 1, running total 15552775
hand 55J93, bid 847, label 1, running total 15769607
hand 563KK, bid 565, label 1, running total 15914812
hand 578J7, bid 406, label 1, running total 16019560
hand 57T79, bid 415, label 1, running total 16127045
hand 5887J, bid 803, label 1, running total 16335825
hand 58892, bid 654, label 1, running total 16506519
hand 592T5, bid 873, label 1, running total 16735245
hand 59563, bid 373, label 1, running total 16833344
hand 5J7J2, bid 186, label 1, running total 16882448
hand 5JQ3Q, bid 962, label 1, running total 17137378
hand 5Q3T5, bid 782, label 1, running total 17345390
hand 5KQ7Q, bid 26, label 1, running total 17352332
hand 5A653, bid 126, label 1, running total 17386100
hand 63363, bid 970, label 1, running total 17647030
hand 64AA3, bid 330, label 1, running total 17736130
hand 664T5, bid 512, label 1, running total 17874882
hand 6652A, bid 799, label 1, running total 18092210
hand 666TT, bid 383, label 1, running total 18196769
hand 668Q2, bid 822, label 1, running total 18421997
hand 66996, bid 890, label 1, running total 18666747
hand 66T4J, bid 137, label 1, running total 18704559
hand 66Q6Q, bid 898, label 1, running total 18953305
hand 66KK6, bid 173, label 1, running total 19001399
hand 687K8, bid 230, label 1, running total 19065569
hand 696J4, bid 983, label 1, running total 19340809
hand 6986K, bid 664, label 1, running total 19527393
hand 6T2JT, bid 923, label 1, running total 19787679
hand 6TQ5Q, bid 865, label 1, running total 20032474
hand 6J263, bid 60, label 1, running total 20049514
hand 6J6J6, bid 451, label 1, running total 20178049
hand 6JQ33, bid 253, label 1, running total 20250407
hand 6JQAJ, bid 931, label 1, running total 20517604
hand 6QJ2Q, bid 769, label 1, running total 20739076
hand 6K675, bid 385, label 1, running total 20850341
hand 727QJ, bid 599, label 1, running total 21024051
hand 72J7T, bid 938, label 1, running total 21297009
hand 736JJ, bid 789, label 1, running total 21527397
hand 74462, bid 111, label 1, running total 21559920
hand 74A22, bid 508, label 1, running total 21709272
hand 75583, bid 411, label 1, running total 21830517
hand 75687, bid 716, label 1, running total 22042453
hand 75882, bid 815, label 1, running total 22284508
hand 76667, bid 534, label 1, running total 22443640
hand 77333, bid 996, label 1, running total 22741444
hand 77836, bid 792, label 1, running total 22979044
hand 77878, bid 834, label 1, running total 23230078
hand 785Q8, bid 139, label 1, running total 23272056
hand 78944, bid 636, label 1, running total 23464764
hand 78A4A, bid 838, label 1, running total 23719516
hand 78A67, bid 92, label 1, running total 23747576
hand 79422, bid 721, label 1, running total 23968202
hand 794A4, bid 400, label 1, running total 24091002
hand 79743, bid 529, label 1, running total 24253934
hand 79977, bid 59, label 1, running total 24272165
hand 7JA8J, bid 251, label 1, running total 24349975
hand 7Q5Q6, bid 671, label 1, running total 24558656
hand 7Q77Q, bid 176, label 1, running total 24613568
hand 7QJQ9, bid 494, label 1, running total 24768190
hand 7QQ59, bid 886, label 1, running total 25046394
hand 7A7A7, bid 523, label 1, running total 25211139
hand 83383, bid 892, label 1, running total 25493011
hand 83499, bid 740, label 1, running total 25727591
hand 83J82, bid 157, label 1, running total 25777517
hand 84484, bid 286, label 1, running total 25868751
hand 85232, bid 839, label 1, running total 26137231
hand 86348, bid 274, label 1, running total 26225185
hand 8799J, bid 202, label 1, running total 26290229
hand 87T86, bid 706, label 1, running total 26518267
hand 882J9, bid 909, label 1, running total 26812783
hand 88QTJ, bid 360, label 1, running total 26929783
hand 89T49, bid 794, label 1, running total 27188627
hand 8T24T, bid 760, label 1, running total 27437147
hand 8T2J2, bid 72, label 1, running total 27460763
hand 8T98J, bid 980, label 1, running total 27783183
hand 8TJ4J, bid 614, label 1, running total 27985803
hand 8TK44, bid 628, label 1, running total 28193671
hand 8J285, bid 49, label 1, running total 28209939
hand 8J2A8, bid 403, label 1, running total 28344138
hand 8J363, bid 678, label 1, running total 28570590
hand 8J48T, bid 849, label 1, running total 28855005
hand 8J99K, bid 483, label 1, running total 29017293
hand 8JT28, bid 585, label 1, running total 29214438
hand 8JT83, bid 611, label 1, running total 29420956
hand 8JQQ4, bid 773, label 1, running total 29683003
hand 8QA5A, bid 416, label 1, running total 29824443
hand 8QA87, bid 777, label 1, running total 30089400
hand 8K2A2, bid 118, label 1, running total 30129756
hand 8K8K8, bid 976, label 1, running total 30464524
hand 8KAAJ, bid 448, label 1, running total 30618636
hand 8AA94, bid 356, label 1, running total 30741456
hand 92652, bid 733, label 1, running total 30995074
hand 93933, bid 801, label 1, running total 31273021
hand 9492K, bid 597, label 1, running total 31480777
hand 94JQ9, bid 897, label 1, running total 31793830
hand 95559, bid 645, label 1, running total 32019580
hand 9588J, bid 254, label 1, running total 32108734
hand 96567, bid 165, label 1, running total 32166814
hand 96862, bid 883, label 1, running total 32478513
hand 969KT, bid 13, label 1, running total 32483115
hand 96J2J, bid 349, label 1, running total 32607010
hand 973K9, bid 24, label 1, running total 32615554
hand 97457, bid 268, label 1, running total 32711230
hand 98395, bid 390, label 1, running total 32850850
hand 9886A, bid 447, label 1, running total 33011323
hand 9896J, bid 608, label 1, running total 33230203
hand 989AJ, bid 229, label 1, running total 33312872
hand 98TJJ, bid 497, label 1, running total 33492786
hand 9924Q, bid 871, label 1, running total 33808959
hand 9972A, bid 767, label 1, running total 34088147
hand 999JJ, bid 329, label 1, running total 34208232
hand 999KK, bid 954, label 1, running total 34557396
hand 99TA3, bid 491, label 1, running total 34737593
hand 99J76, bid 204, label 1, running total 34812665
hand 9TT7J, bid 627, label 1, running total 35044028
hand 9TAA6, bid 362, label 1, running total 35177968
hand 9J36J, bid 921, label 1, running total 35519659
hand 9J594, bid 215, label 1, running total 35599639
hand 9J636, bid 650, label 1, running total 35842089
hand 9J7AJ, bid 436, label 1, running total 36005153
hand 9JTT8, bid 53, label 1, running total 36025028
hand 9K692, bid 366, label 1, running total 36162644
hand 9A9A9, bid 744, label 1, running total 36443132
hand T2556, bid 199, label 1, running total 36518354
hand T2866, bid 224, label 1, running total 36603250
hand T33T3, bid 440, label 1, running total 36770450
hand T345T, bid 555, label 1, running total 36981905
hand T3J9T, bid 291, label 1, running total 37093067
hand T43KT, bid 322, label 1, running total 37216393
hand T4834, bid 895, label 1, running total 37560073
hand T5T6J, bid 231, label 1, running total 37649008
hand T5AAQ, bid 435, label 1, running total 37816918
hand T77T7, bid 462, label 1, running total 37995712
hand T888T, bid 686, label 1, running total 38261880
hand T8JQJ, bid 937, label 1, running total 38626373
hand TT444, bid 669, label 1, running total 38887283
hand TT658, bid 511, label 1, running total 39087084
hand TT825, bid 817, label 1, running total 39407348
hand TT999, bid 460, label 1, running total 39588128
hand TJ5QT, bid 479, label 1, running total 39776854
hand TQTQQ, bid 156, label 1, running total 39838474
hand TA774, bid 419, label 1, running total 40004398
hand TATJ6, bid 364, label 1, running total 40148906
hand J2TT5, bid 783, label 1, running total 40460540
hand J2QQ4, bid 729, label 1, running total 40751411
hand J3352, bid 138, label 1, running total 40806611
hand J339A, bid 953, label 1, running total 41188764
hand J3893, bid 101, label 1, running total 41229366
hand J3QJ2, bid 709, label 1, running total 41515093
hand J4272, bid 187, label 1, running total 41590641
hand J4874, bid 680, label 1, running total 41866041
hand J4939, bid 752, label 1, running total 42171353
hand J4TT2, bid 502, label 1, running total 42375667
hand J555J, bid 256, label 1, running total 42480115
hand J66K5, bid 240, label 1, running total 42578275
hand J699T, bid 61, label 1, running total 42603285
hand J7292, bid 345, label 1, running total 42745080
hand J7743, bid 414, label 1, running total 42915648
hand J7J24, bid 363, label 1, running total 43065567
hand J7J9Q, bid 79, label 1, running total 43098273
hand J8779, bid 218, label 1, running total 43188743
hand J8T99, bid 280, label 1, running total 43305223
hand J8A83, bid 925, label 1, running total 43690948
hand J9585, bid 175, label 1, running total 43764098
hand J99AT, bid 410, label 1, running total 43935888
hand JT6QT, bid 586, label 1, running total 44182008
hand JTJTJ, bid 722, label 1, running total 44485970
hand JTA8A, bid 314, label 1, running total 44618478
hand JJ4QK, bid 711, label 1, running total 44919231
hand JJ888, bid 763, label 1, running total 45242743
hand JJAAA, bid 623, label 1, running total 45507518
hand JQ6TJ, bid 343, label 1, running total 45653636
hand JK4TT, bid 915, label 1, running total 46044341
hand JKK3A, bid 696, label 1, running total 46342229
hand JA3TT, bid 612, label 1, running total 46604777
hand JA525, bid 808, label 1, running total 46952217
hand JA6J4, bid 553, label 1, running total 47190560
hand JAJ43, bid 848, label 1, running total 47556896
hand Q272J, bid 841, label 1, running total 47921049
hand Q2Q63, bid 243, label 1, running total 48026511
hand Q2AQJ, bid 69, label 1, running total 48056526
hand Q2AAT, bid 973, label 1, running total 48480754
hand Q598Q, bid 562, label 1, running total 48726348
hand Q999Q, bid 475, label 1, running total 48934398
hand QT24T, bid 34, label 1, running total 48949324
hand QJ3QK, bid 784, label 1, running total 49294284
hand QJ575, bid 577, label 1, running total 49548741
hand QJ656, bid 536, label 1, running total 49785653
hand QJJT2, bid 662, label 1, running total 50078919
hand QJJJQ, bid 299, label 1, running total 50211675
hand QJQTK, bid 651, label 1, running total 50501370
hand QJKTT, bid 216, label 1, running total 50597706
hand QJA2A, bid 544, label 1, running total 50840874
hand QQ359, bid 558, label 1, running total 51090858
hand QQJ47, bid 94, label 1, running total 51133064
hand QK227, bid 620, label 1, running total 51412064
hand QAKKJ, bid 453, label 1, running total 51616367
hand QAAAQ, bid 357, label 1, running total 51777731
hand K222K, bid 304, label 1, running total 51915443
hand K2449, bid 888, label 1, running total 52318595
hand K279K, bid 632, label 1, running total 52606155
hand K2AAT, bid 742, label 1, running total 52944507
hand K4426, bid 990, label 1, running total 53396937
hand K555K, bid 762, label 1, running total 53745933
hand K5997, bid 638, label 1, running total 54038775
hand K5TK3, bid 391, label 1, running total 54218635
hand K6944, bid 940, label 1, running total 54651975
hand K7KJ8, bid 757, label 1, running total 55001709
hand K85KT, bid 527, label 1, running total 55245710
hand K8TT3, bid 68, label 1, running total 55277262
hand KT54K, bid 987, label 1, running total 55736217
hand KTJT9, bid 854, label 1, running total 56134181
hand KJ27J, bid 674, label 1, running total 56448939
hand KQTT4, bid 82, label 1, running total 56487315
hand KQQ9J, bid 606, label 1, running total 56771529
hand KK2JT, bid 328, label 1, running total 56925689
hand KK783, bid 292, label 1, running total 57063221
hand KKAAA, bid 600, label 1, running total 57346421
hand A22A2, bid 298, label 1, running total 57487375
hand A29KK, bid 371, label 1, running total 57663229
hand A3448, bid 498, label 1, running total 57899779
hand A384A, bid 424, label 1, running total 58101603
hand A3Q8Q, bid 749, label 1, running total 58458876
hand A3QA8, bid 971, label 1, running total 58923014
hand A444A, bid 689, label 1, running total 59253045
hand A4Q24, bid 380, label 1, running total 59435445
hand A5AQ3, bid 16, label 1, running total 59443141
hand A74A2, bid 431, label 1, running total 59650883
hand A848T, bid 641, label 1, running total 59960486
hand A8A46, bid 708, label 1, running total 60303158
hand A92JA, bid 919, label 1, running total 60748873
hand A963A, bid 321, label 1, running total 60904879
hand ATT26, bid 911, label 1, running total 61348536
hand ATATA, bid 978, label 1, running total 61825800
hand AJJ95, bid 795, label 1, running total 62214555
hand AQQ49, bid 887, label 1, running total 62649185
hand AQAK6, bid 579, label 1, running total 62933474
hand AAJ45, bid 761, label 1, running total 63307886
hand 226KK, bid 981, label 2, running total 63791519
hand 22A8A, bid 851, label 2, running total 64211913
hand 24255, bid 381, label 2, running total 64400508
hand 24A2A, bid 334, label 2, running total 64566172
hand 25J5J, bid 257, label 2, running total 64693901
hand 262A6, bid 561, label 2, running total 64973279
hand 27575, bid 622, label 2, running total 65283657
hand 28844, bid 546, label 2, running total 65556657
hand 29424, bid 131, label 2, running total 65622288
hand 2TK2T, bid 244, label 2, running total 65744776
hand 2JQ2Q, bid 819, label 2, running total 66156733
hand 2Q662, bid 532, label 2, running total 66424861
hand 2K7K2, bid 19, label 2, running total 66434456
hand 3232J, bid 818, label 2, running total 66848364
hand 33KJK, bid 237, label 2, running total 66968523
hand 34483, bid 387, label 2, running total 67165119
hand 34488, bid 713, label 2, running total 67528036
hand 34943, bid 233, label 2, running total 67646866
hand 36356, bid 306, label 2, running total 67803232
hand 363QQ, bid 282, label 2, running total 67947616
hand 3663J, bid 860, label 2, running total 68388796
hand 37437, bid 41, label 2, running total 68409870
hand 37TT3, bid 154, label 2, running total 68489180
hand 38899, bid 239, label 2, running total 68612504
hand 38KK8, bid 457, label 2, running total 68848773
hand 3T38T, bid 692, label 2, running total 69207229
hand 3Q4Q4, bid 840, label 2, running total 69643189
hand 442T2, bid 116, label 2, running total 69703509
hand 44337, bid 540, label 2, running total 69984849
hand 445K5, bid 194, label 2, running total 70086117
hand 44998, bid 86, label 2, running total 70131095
hand 4499A, bid 520, label 2, running total 70403575
hand 44K7K, bid 20, label 2, running total 70414075
hand 464AA, bid 393, label 2, running total 70620793
hand 474K7, bid 110, label 2, running total 70678763
hand 484T8, bid 603, label 2, running total 70997147
hand 49488, bid 146, label 2, running total 71074381
hand 4TJ4T, bid 855, label 2, running total 71527531
hand 4J64J, bid 367, label 2, running total 71722408
hand 4Q88Q, bid 207, label 2, running total 71832532
hand 4QTTQ, bid 866, label 2, running total 72294110
hand 4QQ47, bid 634, label 2, running total 72632666
hand 52527, bid 262, label 2, running total 72772836
hand 53445, bid 266, label 2, running total 72915412
hand 53537, bid 852, label 2, running total 73372936
hand 54334, bid 35, label 2, running total 73391766
hand 54884, bid 130, label 2, running total 73461836
hand 5566J, bid 54, label 2, running total 73490996
hand 558J8, bid 443, label 2, running total 73730659
hand 55TT2, bid 341, label 2, running total 73915481
hand 55TT3, bid 985, label 2, running total 74450336
hand 55TT4, bid 593, label 2, running total 74772928
hand 57544, bid 492, label 2, running total 75041068
hand 5T22T, bid 601, label 2, running total 75369214
hand 5J252, bid 951, label 2, running total 75889411
hand 5J44J, bid 891, label 2, running total 76377679
hand 5JTJ5, bid 478, label 2, running total 76640101
hand 5KK5T, bid 910, label 2, running total 77140601
hand 5ATAT, bid 774, label 2, running total 77567075
hand 63763, bid 150, label 2, running total 77649875
hand 63QQ6, bid 261, label 2, running total 77794208
hand 64463, bid 123, label 2, running total 77862350
hand 655A6, bid 95, label 2, running total 77915075
hand 65868, bid 718, label 2, running total 78314283
hand 66KK7, bid 564, label 2, running total 78628431
hand 66ATT, bid 25, label 2, running total 78642381
hand 66AA2, bid 167, label 2, running total 78735734
hand 66AA9, bid 905, label 2, running total 79242534
hand 6886J, bid 179, label 2, running total 79342953
hand 6996Q, bid 624, label 2, running total 79693641
hand 6Q886, bid 924, label 2, running total 80213853
hand 7227J, bid 409, label 2, running total 80444529
hand 73667, bid 394, label 2, running total 80667139
hand 744JJ, bid 87, label 2, running total 80716381
hand 74745, bid 793, label 2, running total 81166012
hand 74QQ7, bid 225, label 2, running total 81293812
hand 75857, bid 965, label 2, running total 81842897
hand 77866, bid 972, label 2, running total 82396937
hand 778K8, bid 665, label 2, running total 82776652
hand 77QQT, bid 908, label 2, running total 83296028
hand 78487, bid 902, label 2, running total 83812874
hand 7T76T, bid 635, label 2, running total 84177364
hand 7JAJA, bid 775, label 2, running total 84622989
hand 7KJJK, bid 932, label 2, running total 85159821
hand 7A887, bid 560, label 2, running total 85482941
hand 7AA74, bid 347, label 2, running total 85683507
hand 8383J, bid 441, label 2, running total 85938846
hand 83866, bid 227, label 2, running total 86070506
hand 84A8A, bid 522, label 2, running total 86373788
hand 86383, bid 952, label 2, running total 86927852
hand 87722, bid 346, label 2, running total 87129570
hand 882KK, bid 300, label 2, running total 87304770
hand 88799, bid 820, label 2, running total 87784470
hand 89489, bid 738, label 2, running total 88216938
hand 898JJ, bid 746, label 2, running total 88654840
hand 8JQ8J, bid 517, label 2, running total 88958836
hand 8AAJ8, bid 802, label 2, running total 89431214
hand 922KK, bid 874, label 2, running total 89946874
hand 92898, bid 578, label 2, running total 90288472
